Round,Pick,Team,From
19,189,Fire Sale in August,
19,190,Me and Julio DBTSY,
20,191,Me and Julio DBTSY,
20,192,Dirty Birds,Fire Sale in August
20,192,Fire Sale in August,
20,193,Dirty Birds,
20,194,The McClowns,
20,195,Baseball Team,
20,196,Rockford Peaches,
20,197,Will's Short Porch,
20,198,The McClowns,Willie Mays Hayes
20,200,Fully Erect Dingers,
21,201,Fully Erect Dingers,
21,202,Fire Sale in August,Murder the Manfred Man
21,203,The McClowns,Willie Mays Hayes
21,204,Will's Short Porch,
21,205,Rockford Peaches,
21,206,Baseball Team,
21,207,The McClowns,
21,208,Dirty Birds,
21,209,Fire Sale in August,
21,210,Me and Julio DBTSY,
22,211,Me and Julio DBTSY,
22,212,Fire Sale in August,
22,213,Dirty Birds,
22,214,The McClowns,
22,215,Baseball Team,
22,216,Rockford Peaches,
22,217,Dirty Birds,Will's Short Porch
22,218,Dirty Birds,Willie Mays Hayes
22,219,Murder the Manfred Man,
22,220,Fully Erect Dingers,
23,221,Fully Erect Dingers,
23,222,Dirty Birds,Murder the Manfred Man
23,223,Willie Mays Hayes,
23,224,Dirty Birds,Will's Short Porch
23,225,Rockford Peaches,
23,226,Baseball Team,
23,227,The McClowns,
23,228,Dirty Birds,
23,229,Fire Sale in August,
23,230,Me and Julio DBTSY,
24,231,Me and Julio DBTSY,
24,232,Fire Sale in August,
24,233,Dirty Birds,
24,234,The McClowns,
24,235,Baseball Team,
24,236,Rockford Peaches,
24,237,Me and Julio DBTSY,Will's Short Porch
24,238,Me and Julio DBTSY,Willie Mays Hayes
24,239,Dirty Birds,Murder the Manfred Man
24,240,Fully Erect Dingers,
25,241,Fully Erect Dingers,
25,242,Fire Sale in August,Murder the Manfred Man
25,243,Me and Julio DBTSY,Willie Mays Hayes
25,244,Fire Sale in August,Will's Short Porch
25,245,Rockford Peaches,
25,246,Baseball Team,
25,247,The McClowns,
25,248,Dirty Birds,
25,249,Fire Sale in August,
25,250,Me and Julio DBTSY,
26,251,Me and Julio DBTSY,
26,252,Fire Sale in August,
26,253,Rockford Peaches,Dirty Birds
26,254,The McClowns,
26,255,Baseball Team,
26,256,Rockford Peaches,
26,257,Fire Sale in August,Will's Short Porch
26,258,Me and Julio DBTSY,Willie Mays Hayes
26,259,Fire Sale in August,Murder the Manfred Man
26,260,Fully Erect Dingers,
